"PDF","OUTCOME","COMMENTS","PAGE","LAYOUT","ARMS","ARMS_WITH_N","LINES","VARIABLES","CONTINUOUS","SKIPPED","SECONDS"
"Anaesthesia/2006/5.2.pdf","successfully parsed","Table page 2 (columns layout); 2 arm(s), 2 with N; 6 table lines -> 3 variables (3 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 0.8 s",2,"columns",2,2,6,3,3,1,0.78
"Anaesthesia/2006/6.1.pdf","successfully parsed","Table page 5 (single layout); 5 arm(s), 2 with N; 28 table lines -> 7 variables (0 continuous rows); 9 line(s) skipped as unusable; heuristic engine, 1.3 s",5,"single",5,2,28,7,0,9,1.29
"Anaesthesia/2006/6.2.pdf","successfully parsed","Table page 5 (single layout); 4 arm(s), 0 with N; 3 table lines -> 1 variables (0 continuous rows); 5 line(s) skipped as unusable; heuristic engine, 1.1 s",5,"single",4,0,3,1,0,5,1.06
"Anaesthesia/2007/6.1.pdf","not successfully parsed","Failed at table-page identification: the parser process did not finish within 40s, or crashed",NA,NA,NA,NA,0,0,0,NA,40.27
"Anaesthesia/2007/6.3.pdf","not successfully parsed","Failed at table-page identification: the parser process did not finish within 40s, or crashed",NA,NA,NA,NA,0,0,0,NA,40.21
"Anaesthesia/2007/7.2.pdf","not successfully parsed","Failed at table-page identification: the parser process did not finish within 40s, or crashed",NA,NA,NA,NA,0,0,0,NA,40.19
"Anaesthesia/2008/9.1.pdf","successfully parsed","Table page 4 (columns layout); 3 arm(s), 0 with N; 3 table lines -> 1 variables (0 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 1.0 s",4,"columns",3,0,3,1,0,1,1
"Anaesthesia/2009/1.2.pdf","successfully parsed","Table page 2 (columns layout); 2 arm(s), 0 with N; 7 table lines -> 4 variables (0 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 0.6 s",2,"columns",2,0,7,4,0,2,0.6
"Anaesthesia/2009/2.2.pdf","successfully parsed","Table page 3 (single layout); 2 arm(s), 1 with N; 10 table lines -> 10 variables (9 continuous rows); 6 line(s) skipped as unusable; heuristic engine, 1.0 s",3,"single",2,1,10,10,9,6,0.98
"Anaesthesia/2009/3.3.pdf","successfully parsed","Table page 4 (single layout); 2 arm(s), 0 with N; 1 table lines -> 1 variables (0 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 0.9 s",4,"single",2,0,1,1,0,1,0.92
